ID,Name,RetailValue,WholesaleValue,Year,Count,UnitRetailValue,UnitWholesaleValue,Description,IsSummary,IsUnique,Container,Bag,GroupPreSort
10,40% Half,25,15,1966-1968,5,5,3,,TRUE,FALSE,Large Bag,6,
10a,40% Half,5,3,1966,1,5,3,,FALSE,FALSE,,,
10b,40% Half,5,3,1967,1,5,3,,FALSE,FALSE,,,
10c,40% Half,5,3,1967,1,5,3,,FALSE,FALSE,,,
10d,40% Half,5,3,1968,1,5,3,,FALSE,FALSE,,,
10e,40% Half,5,3,1968,1,5,3,,FALSE,FALSE,,,
11,War Nickle,11,2.75,1942-1945,11,1,0.25,,TRUE,FALSE,Large Bag,7,
11a,War Nickle,2,0.5,1942-1945,2,1,0.25,,FALSE,FALSE,,,
11b,War Nickle,2,0.5,1942-1945,2,1,0.25,,FALSE,FALSE,,,
11c,War Nickle,2,0.5,1942-1945,2,1,0.25,,FALSE,FALSE,,,
11d,War Nickle,2,0.5,1942-1945,2,1,0.25,,FALSE,FALSE,,,
11e,War Nickle,1,0.25,1942-1945,1,1,0.25,,FALSE,FALSE,,,
11f,War Nickle,1,0.25,1942-1945,1,1,0.25,,FALSE,FALSE,,,
11g,War Nickle,1,0.25,1942-1945,1,1,0.25,,FALSE,FALSE,,,
12,Buffalo Nickle,49,12.25,1916-1929,49,1,0.25,,TRUE,FALSE,Large Bag,8,
12a,Buffalo Nickle,7,1.75,1916-1929,7,1,0.25,,FALSE,FALSE,,,
12b,Buffalo Nickle,7,1.75,1916-1929,7,1,0.25,,FALSE,FALSE,,,
12c,Buffalo Nickle,7,1.75,1916-1929,7,1,0.25,,FALSE,FALSE,,,
12d,Buffalo Nickle,7,1.75,1916-1929,7,1,0.25,,FALSE,FALSE,,,
12e,Buffalo Nickle,7,1.75,1916-1929,7,1,0.25,,FALSE,FALSE,,,
12f,Buffalo Nickle,7,1.75,1916-1929,7,1,0.25,,FALSE,FALSE,,,
12g,Buffalo Nickle,7,1.75,1916-1929,7,1,0.25,,FALSE,FALSE,,,
13,Silver Dime,312.5,187.5,1910s-1950s,125,2.5,1.5,,TRUE,FALSE,Large Bag,9,
13a,Silver Dime,45,27,1910s-1950s,18,2.5,1.5,,FALSE,FALSE,,,
13b,Silver Dime,45,27,1910s-1950s,18,2.5,1.5,,FALSE,FALSE,,,
13c,Silver Dime,45,27,1910s-1950s,18,2.5,1.5,,FALSE,FALSE,,,
13d,Silver Dime,45,27,1910s-1950s,18,2.5,1.5,,FALSE,FALSE,,,
13e,Silver Dime,45,27,1910s-1950s,18,2.5,1.5,,FALSE,FALSE,,,
13f,Silver Dime,45,27,1910s-1950s,18,2.5,1.5,,FALSE,FALSE,,,
13g,Silver Dime,42.5,25.5,1910s-1950s,17,2.5,1.5,,FALSE,FALSE,,,
14,V Nickles,16,4,1900s-1910s,16,1,0.25,,TRUE,FALSE,Large Bag,10,
14a,V Nickles,3,0.75,1900s-1910s,3,1,0.25,,FALSE,FALSE,,,
14b,V Nickles,3,0.75,1900s-1910s,3,1,0.25,,FALSE,FALSE,,,
14c,V Nickles,2,0.5,1900s-1910s,2,1,0.25,,FALSE,FALSE,,,
14d,V Nickles,2,0.5,1900s-1910s,2,1,0.25,,FALSE,FALSE,,,
14e,V Nickles,2,0.5,1900s-1910s,2,1,0.25,,FALSE,FALSE,,,
14f,V Nickles,2,0.5,1900s-1910s,2,1,0.25,,FALSE,FALSE,,,
14g,V Nickles,2,0.5,1900s-1910s,2,1,0.25,,FALSE,FALSE,,,
15,Quarter Book w/ 20 Quarters,64.75,39.75,1960-1991,1,64.75,39.75,,FALSE,TRUE,Large Bag,n/a,
16,Silver Certificate,21,10.5,1957,7,3,1.5,,TRUE,FALSE,Glass Jar,1,
16a,Silver Certificate,3,1.5,1957,1,3,1.5,,FALSE,FALSE,,,
16b,Silver Certificate,3,1.5,1957,1,3,1.5,,FALSE,FALSE,,,
16c,Silver Certificate,3,1.5,1957,1,3,1.5,,FALSE,FALSE,,,
16d,Silver Certificate,3,1.5,1957,1,3,1.5,,FALSE,FALSE,,,
16e,Silver Certificate,3,1.5,1957,1,3,1.5,,FALSE,FALSE,,,
16f,Silver Certificate,3,1.5,1957,1,3,1.5,,FALSE,FALSE,,,
16g,Silver Certificate,3,1.5,1935,1,3,1.5,,FALSE,FALSE,,,
